Tim <extra_id_0> m.jin.	<extra_id_0> brzadem żëwią sã <extra_id_1>
Dziewięć kamienic <extra_id_0> od placu ma 3, a dziesiąta – 4 kondygnacje.	<extra_id_0> wzniesionych na zachód <extra_id_1>
Obecnie w <extra_id_0> Barnet.	<extra_id_0> obrębie londyńskiej dzielnicy <extra_id_1>
Temù brôł <extra_id_0> spòlëznë.	<extra_id_0> ùdziél w zëcym <extra_id_1>
Niech sã <extra_id_0> (2000).	<extra_id_0> swiãcy Twòje miono <extra_id_1>
Co więcej, ciężkie pociski 15 cm były bardzo skuteczne i ostrzał <extra_id_0> efekt psychologiczny.	<extra_id_0> nimi dawał duży <extra_id_1>
Oprócz samego paliwa uranowego wykorzystanie wzbogacania <extra_id_0> cyklu paliwowego.	<extra_id_0> zwiększa również koszt <extra_id_1>
Sedzbą <extra_id_0> stôri bùdink.	<extra_id_0> Centróm je dosc <extra_id_1>
Najważniejszymi działaczami grupy był Brytyjczyk <extra_id_0> Pierre Lambert.	<extra_id_0> Gerald Healy i <extra_id_1>
W 1994 rozpoczął studia doktorskie przy <extra_id_0> Gdańskiej.	<extra_id_0> Wydziale Chemicznym Politechniki <extra_id_1>
Jednym z jego najbardziej <extra_id_0> Glasarchitektur (1914).	<extra_id_0> znanych utworów jest <extra_id_1>
Kaszëbsczi <extra_id_0> baro skąplikowônô gra, póczi nie ùmnie so w nią grac.	<extra_id_0> brydz- Baszka to <extra_id_1>
Powikłaniami po założeniu stentu T mogą być jego niedrożność, narastanie ziarniny przy jego końcach, a także zaburzenia głosu spowodowane <extra_id_0> stentu z fałdami głosowymi.	<extra_id_0> zbyt bliskim sąsiedztwem <extra_id_1>
Po powrocie Torunia do Polski w 1920 roku i przeprowadzeniu remontu większości fortów fort I został przeznaczony na <extra_id_0> gospodarcze.	<extra_id_0> magazyn i pomieszczenia <extra_id_1>
Miono karna znaczi <extra_id_0> "żelôznô dzéwica", chtërna bëła dôwnym aparatã zadôwaniô bòlescë.	<extra_id_0> w anielsczim jãzëkù <extra_id_1>
Zauważono, że postacie ewangeliczne <extra_id_0> tak aby reprezentować poglądy społeczności żydowskiej w czasach Chrystusa oraz chrześcijańskiej w II połowie I wieku.	<extra_id_0> są odpowiednio dobrane, <extra_id_1>
W 2006 <extra_id_0> pierwszy album pt. Terry.	<extra_id_0> r. wydała swój <extra_id_1>
Stosowóny <extra_id_0> wòjskòwëch emblematach.	<extra_id_0> je téż w <extra_id_1>
Wszystkie <extra_id_0> płk.	<extra_id_0> siły pod dowództwem <extra_id_1>
Zakończyła karierę reprezentacyjną meczem <extra_id_0> ZSRR - 25 października 1975.	<extra_id_0> mistrzostw Europy z <extra_id_1>
Autor podręcznika najnowszej historii Polski i świata, z którego powszechnie uczono się dziejów XX w. <extra_id_0> po upadku komunizmu oraz książki Generał „Grot”.	<extra_id_0> w pierwszych latach <extra_id_1>
Półjawnie działały także szkoły <extra_id_0> przez działaczy narodowych nauczających języka baskijskiego oraz historii i geografii Kraju Basków.	<extra_id_0> baskijskie (ikastolas), prowadzone <extra_id_1>
Cerdic miał umrzeć w 534, a władzę po nim <extra_id_0> Cynric.	<extra_id_0> odziedziczył jego syn <extra_id_1>
; <extra_id_0> –	<extra_id_0> przy drodze Gierczyce <extra_id_1>
W dolnym polu koloru <extra_id_0> złote kłosy zboża, tworzące literę „	<extra_id_0> zielonego umieszczono trzy <extra_id_1>
Tu <extra_id_0> kòscół.	<extra_id_0> je stóri <extra_id_1>
Ocena rozmiaru niesprawności waha <extra_id_0> źródeł.	<extra_id_0> się zależnie od <extra_id_1>
W wiekù trzëch lat Wolfgang, słëszącë grã sostrë <extra_id_0> sã wëszukiwanim tercji na tim instrumence (jak wspòminô pózni jegò sostra).	<extra_id_0> na klawesynie, zabawiał <extra_id_1>
Gmina <extra_id_0> powiatu.	<extra_id_0> stanowi 21,22% powierzchni <extra_id_1>
Ten ôrt lëdzy nie jimô sã niżódny ùtcëwi robòtë, le brzątwi w <extra_id_0> roji ò tajemnëch szëkach czarodzejnëch.	<extra_id_0> czôrnëch mëslach i <extra_id_1>
W <extra_id_0> dëtkòwé jiwrë, zaczãła robòtã jakno szkólnô.	<extra_id_0> 1912, m.jin. bez <extra_id_1>
Morrison zainstalował też <extra_id_0> kocioł destylacyjny.	<extra_id_0> w zakładzie trzeci <extra_id_1>
Do <extra_id_0> 5 dniów.	<extra_id_0> kùńca roku je <extra_id_1>
Na westrzódkù gminë je wies Łãczëce, <extra_id_0> gminë.	<extra_id_0> chtërna je stolëcą <extra_id_1>
Przedstawiciele rodziny Gephyrostegidae oraz należącej do Seymouriamorpha rodziny Seymouriidae byli <extra_id_0> ze środowiskiem lądowym (przynajmniej po osiągnięciu dojrzałości), natomiast Kotlassiidae były zwierzętami wodnymi.	<extra_id_0> prawdopodobnie silnie związani <extra_id_1>
Te słowiczi <extra_id_0> -	<extra_id_0> przëlôtiwają w łżekwiôce <extra_id_1>
Czôrnô sosna (Pinus nigra) – to je ôrt <extra_id_0> z rodzëznë sosnowatëch (Pinaceae).	<extra_id_0> wiedno zelonégò drzéwiãca <extra_id_1>
Chléb – to je pieczëzna z ùpiekłégò casta, chtërnym je jednorodny miészónka mączi ze zbòżów rozmajitégò <extra_id_0> colemało pò alkòholowi fermentacje (dodôwóné są młodze).	<extra_id_0> ôrtu i wòdë, <extra_id_1>
Dbôł ó <extra_id_0> mijsczi prawa nowim òstrzódkom (w tim Bidgòszczë), dbôł ò rozwój òswiatë (czegò przikładã bëło Pòwòłanié przez niegò w 1346 r. Akademië Krakòwsczi) a téż wzbògacył skarbc królewsczi.	<extra_id_0> rozwój miastów, nadôwôł <extra_id_1>
Szybcy i wściekli 8 <extra_id_0> części.	<extra_id_0> jest kontynuacją siódmej <extra_id_1>
Rogi u samic są niewielkie, u samców <extra_id_0> 150 cm długości.	<extra_id_0> natomiast osiągają nawet <extra_id_1>
Je to 945 rok naszi erë (pò narodzenim Christusa), 945. rok pierszégò tësąclecégò, 45. rok X stolatégò, 5. <extra_id_0> X stolatégò.	<extra_id_0> rok 5-égò dzesãcolecô <extra_id_1>
Brodnica, <extra_id_0> miem.	<extra_id_0> <extra_id_1>
Wëprodùkòwane w pòlsce zarno owsa w 80% <extra_id_0> paszã, w 15% na materiał siéwny, resztã na cele konsumpcëjne.	<extra_id_0> przeznacza sã na <extra_id_1>
Ostatecznie <extra_id_0> ordynacji senackiej Blok uzyskał jedynie 15 mandatów (spośród 93 kandydatów), co dało mu niewielki wpływ na tworzenie prawa i bieg prac Senatu.	<extra_id_0> na skutek większościowej <extra_id_1>
Bliza – nawigacjowi mërk <extra_id_0> abò wòdze sélający widné sygnalë.	<extra_id_0> ùsôdzony na sztrãdze <extra_id_1>
Może <extra_id_0> tego dzwonu nawiązuje herb Mszany.	<extra_id_0> to właśnie do <extra_id_1>
Pòd kierunkiem Natashy Lytess rozwijała aktorsczé ùmiejãtnosce, a <extra_id_0> zmianã swòjégò wizerunkù – jej włosë miały òd tej pòry kòlór platynowégò blondu, przeszła również kòrekcjã wady zgryzu.	<extra_id_0> pònadto przeszła kòlejnã <extra_id_1>
Używano go także jako materiał na oprawę <extra_id_0> brulionów.	<extra_id_0> teczek, do wyrobu <extra_id_1>
Òn mô kòl 9 cm długòscë ë je òliwkòwò-zelony farwë, a na głowie mô żôłtawą <extra_id_0> ùbrzegù.	<extra_id_0> prãgã czôrną na <extra_id_1>
Doktoryzował <extra_id_0> 1938.	<extra_id_0> się tam w <extra_id_1>
Artemizja boleśnie przeżyła śmierć swojego brata-męża <extra_id_0> z rozpaczy zjadała nawet jego popioły.	<extra_id_0> i, jak powiadano, <extra_id_1>
Młodzowi kùch <extra_id_0> kùch ùpiekłi z casta z młodzama.	<extra_id_0> - to je <extra_id_1>
Żëwią <extra_id_0> òwadami, jajami, grëzôczami,gôdami itp.	<extra_id_0> sã rëbëma,bezkrzélówcami mòrszczimi,stawònagami, <extra_id_1>
Òkrãgłolëstny zwónk <extra_id_0> - to je roscëna z rodzëznë zwónkowatëch (Campanulaceae Juss.).	<extra_id_0> (Campanula rotundifolia L.) <extra_id_1>
Dokument biograficzny <extra_id_0> pomocą systemu znaków i symboli, z których najważniejszy jest język.	<extra_id_0> dany jest za <extra_id_1>
Wykazano, że próbka kory ciemieniowej Einsteina, pobrana <extra_id_0> półkuli jego mózgu, różni się w istotnym stopniu od analogicznych próbek grupy kontrolnej.	<extra_id_0> z lewej, dominującej <extra_id_1>
Figùra Madonnë <extra_id_0> stalata.	<extra_id_0> je z XV <extra_id_1>
Wiãkszosc liberalnëch wchôdô do Swiatowi Lëtersczi Federacje (nôleżi do <extra_id_0> „stôrich” państwowëch kòscołów Stôrégò Swiata).	<extra_id_0> ni téż wiãkszosc <extra_id_1>
BBA Transport System to polskie przedsiębiorstwo <extra_id_0> spedycją i logistyką.	<extra_id_0> zajmujące się transportem <extra_id_1>
Do <extra_id_0> 106 dniów.	<extra_id_0> kùńca roku je <extra_id_1>
Z dôwnymi praktikama w czarzënie móże parłãczëc do <extra_id_0> - przed Gòdama - gwiôzdczi.	<extra_id_0> dzys żëwé chòdzenié <extra_id_1>
Miała pełnić <extra_id_0> antypartyzanckie.	<extra_id_0> zadania ochronne i <extra_id_1>
Na zôpadze są <extra_id_0> Armeńskô ë Jirańskô.	<extra_id_0> to Wëszawë: Anatolijskô, <extra_id_1>
Bieda to nie wynik niedostatku, lecz wynik otrzymywania wsparcia lub zgodne z <extra_id_0> do otrzymywania wsparcia.	<extra_id_0> normami społecznymi uprawnienie <extra_id_1>
Ma w <extra_id_0> mistrzostw Europy.	<extra_id_0> dorobku szereg medali <extra_id_1>
Tak <extra_id_0> jaż bãdą pãcherziczi lëftu i casto bãdze òdchôdało òd rãczi.	<extra_id_0> długò to wërôbiac, <extra_id_1>
Je to 1767 rok naszi erë (pò narodzenim Christusa), 767. <extra_id_0> 67. rok XVIII stolatégò, 7. rok 7-égò dzesãcolecô XVIII stolatégò.	<extra_id_0> rok drëdżégò tësąclecô, <extra_id_1>
Pò 1920 rokù Zakrzewò <extra_id_0> greńcową wsą.	<extra_id_0> stało sã pòlską <extra_id_1>
Zostają <extra_id_0> ludzi.	<extra_id_0> zaatakowane przez <extra_id_1>
Cykl zrywał z <extra_id_0> problematyką miłosną oraz filozoficzną zwracając się ku opisom „panoramy krain”.	<extra_id_0> tradycyjną dla sonetów <extra_id_1>
On potwierdza jej przypuszczenia, że tak naprawdę Shaw nie <extra_id_0> katastrofy statku, a wykorzystał ją do własnych eksperymentów.	<extra_id_0> zginęła w wyniku <extra_id_1>
W 1941 rokù pò <extra_id_0> jegò òjc - téż Karol.	<extra_id_0> dłudżi chòrobie ùmarł <extra_id_1>
Wiôldżi smùlsz (Limax maximus) <extra_id_0> smôrzcz z rodzëznë smulszowatëch.	<extra_id_0> - to je <extra_id_1>
Pòkrãtnik abò ksãżi kòlnérz (Tanacetum vulgare L.) - <extra_id_0> roscëna z rodzëznë astrowatëch (Asteraceae).	<extra_id_0> to je wielelatnô <extra_id_1>
Tam jegò <extra_id_0> wiôlgą tczą.	<extra_id_0> grób je òbjimniãti <extra_id_1>
Chònice (téż Chòjnice; w zdrojach: Chojnica, Choynicze 1454, civitas Choinice 1667, Konicz kòl 1688 (Marchionatus Brandenburgi et Ducatus Pomeraniae TAbula que est <extra_id_0> Saxoniae Superioris.	<extra_id_0> pars Septentrionalis Ciruculi <extra_id_1>
Według danych opublikowanych przez gminę <extra_id_0> 2014 r. Högdalen liczyło 9304 mieszkańców.	<extra_id_0> Sztokholm 31 grudnia <extra_id_1>
Ostatni wielki producent, Kässbohrer, produkował miejską wersję autobusu własnej konstrukcji (niestandardowego) typu S 215 <extra_id_0> SG 219 SL.	<extra_id_0> SL i przegubowy <extra_id_1>
Drżenia te <extra_id_0> bólów mięśniowych odczuwanych u chorych w okresie pooperacyjnym.	<extra_id_0> mogą być przyczyną <extra_id_1>
Przódë lëft do òrganów béł pómpòwóny przez człowieka, chtëren zwôł sã kalikantã przë ùdzélu nożnëch pedałów, <extra_id_0> pomòcë wrãdżi.	<extra_id_0> abò rãczno przë <extra_id_1>
Pierszé lata pò wòjnie to <extra_id_0> lëdztwa.	<extra_id_0> czas wiôldżich przemieszczeniów <extra_id_1>
Ówczesny arcybiskup Antonio dos Santos <extra_id_0> artystycznej formie architektonicznej ogłosił, że "kościół jest niezdatny do celów religijnych".	<extra_id_0> Cabral przeciwny jego <extra_id_1>
Jich <extra_id_0> na wszelejaczich rozegracjach i przëjãcach.	<extra_id_0> platkã mòże pùszczac <extra_id_1>
Za <extra_id_0> Augusta III związôné je powiedzenia „króla Zaksasa jédz, pij i pòpùszczi pasa”	<extra_id_0> panowaniém jégò i <extra_id_1>
Niechtërne <extra_id_0> na lato na Alaskã i Ògnistą Zemiã.	<extra_id_0> z nich òdlatëją <extra_id_1>
Kończy <extra_id_0> pewnej nocy czarownicy kradną wszystkie zapasy wody, a napotkany lew lub lampart, zabija ich obu i wypija całą wodę.	<extra_id_0> się to tragicznie: <extra_id_1>
Walcząc w wadze lekkopółśredniej i średniej stoczył <extra_id_0> 166-15-45).	<extra_id_0> 226 walk (bilans: <extra_id_1>
Villas-Boas podkreślał jednak, że dopóki będzie <extra_id_0> właściciela klubu oraz kibiców nie odejdzie ze stanowiska.	<extra_id_0> cieszył się zaufaniem <extra_id_1>
Òchrónowi cząd <extra_id_0> stëcznika do 30 łżëkwiata.	<extra_id_0> – òd 1 <extra_id_1>
Początkowo w teorii ekonomii termin inflacja był utożsamiany właśnie z inflacją pieniężną, obecnie jednak, pod tym <extra_id_0> inflację cenową.	<extra_id_0> pojęciem rozumie się <extra_id_1>
Benitę von Falkenhayn i Renate <extra_id_0> za zdradę na karę śmierci przez ścięcie toporem.	<extra_id_0> von Natzmer skazano <extra_id_1>
Pò dwùch òd <extra_id_0> w ti akcëji swój dzél - célã je schwacenié balë i rozpoczãcé akcje swòjégò karna.	<extra_id_0> kòżdi gromadë mô <extra_id_1>
Związôł <extra_id_0> patrioticznëch kònspiratorów królewiecczëch.	<extra_id_0> sã z krãgama <extra_id_1>
W 2011 <extra_id_0> 184 mieszkańców.	<extra_id_0> roku gmina liczyła <extra_id_1>
W jãzëkach, chtërne ni <extra_id_0> alternatiwné spòsobë pòkôzaniô roli słowa w zdanim: pòrządk słów, ùżëcé przëmiónków i pòmiónków.	<extra_id_0> mają przëpôdków, jistnieją <extra_id_1>
Po I <extra_id_0> została zamknięta.	<extra_id_0> wojnie światowej cerkiew <extra_id_1>
Opracowywał propagandowe broszury o życiu w <extra_id_0> "Betrachtungen zur politischen Lage des russischen Volkes").	<extra_id_0> Związku Radzieckim (m.in. <extra_id_1>
Zwëczajny <extra_id_0> – to je ôrt roscënë z rodzëznë baniowatëch (Cucurbitaceae).	<extra_id_0> kawón (Citrullus lanatus) <extra_id_1>
Najcenniejszymi elementami budowy i sztuki są: <extra_id_0> Szkaplerznej (XVIII wiek), ołtarzowe rzeźby śś.	<extra_id_0> obraz Matki Boskiej <extra_id_1>
Przez przezmiarã eksploatacëji <extra_id_0> znacznym gradze pòwëbieróné.	<extra_id_0> bëłë òne w <extra_id_1>
Sosnica <extra_id_0> miem.	<extra_id_0> (dólnomiem. Sassnitz; <extra_id_1>
Toczi òdbëwają sã pò pòwrocie na môl lęgòwi, trulôcz na pòczątkù trzëmô się w stadach, a toczi <extra_id_0> karnach.	<extra_id_0> òdbëwają sã w <extra_id_1>
Pò swòjim <extra_id_0> na chrzescëjaństwò wiele lëdzy w rozmajitëch placach.	<extra_id_0> nawrócenim òn nawrócył <extra_id_1>
Z każdego <extra_id_0> zawodników awansowało do finału (Q).	<extra_id_0> biegu 4 najlepszych <extra_id_1>
Palecznica (Digitalis L.) – to <extra_id_0> abò wielelatnëch roscënów z rodzëznë bùlwicowatëch (Scrophuliaceae).	<extra_id_0> je szlach dwalatnëch <extra_id_1>
Wykonany w odlewie z mosiądzu, w <extra_id_0> wymiarach 16 x16 cm.	<extra_id_0> kształcie ośmiokąta o <extra_id_1>
Siedlisko: skraje <extra_id_0> na łąkach, zarośla, doliny rzeczne.	<extra_id_0> lasów, przy drogach, <extra_id_1>
Praktycznie całość tej wody wraca do zbiornika lub do atmosfery w postaci pary wodnej Do obiegu może nie wracać do ok. 135 m³ wody dziennie z <extra_id_0> własne, np. starty czy woda pitna.	<extra_id_0> uwagi za użycie <extra_id_1>
Ciało <extra_id_0> sierść (około 11 mm).	<extra_id_0> pokrywa stosunkowo długa <extra_id_1>
Scynanié kanie – je kaszëbsczi szpetôczel <extra_id_0> Jana.	<extra_id_0> we wigiliã swiãtégò <extra_id_1>
Jego ówczesny menadżer <extra_id_0> osobą nierzetelną.	<extra_id_0> okazał się jednak <extra_id_1>
Hidroeléctrica Espanola, znana również jako Hidrola rozpoczęła działalność w 1907 roku, <extra_id_0> powstał w 1944 roku w wyniku połączenia między Hidroeléctrica Iberia (1901) i Saltos del Duero.	<extra_id_0> podczas gdy Iberduero <extra_id_1>
Długòsc <extra_id_0> òd 2 cm do 19 cm.	<extra_id_0> cała wôżków òscyluje <extra_id_1>
Kaszëbi <extra_id_0> òd XI wiekù.	<extra_id_0> wëplôtatają je ju <extra_id_1>
Li Chi zhuan („Opowieść o ‘Czerwonym’ Li”) to z kolei jedna z ważniejszych tzw. „opowieści niesamowitych”, <extra_id_0> popularnego w czasach tangowskich.	<extra_id_0> gatunku fikcji szczególnie <extra_id_1>
Tu je rodné <extra_id_0> np.	<extra_id_0> gniôzdo rodzëznów Brzezyńsczich <extra_id_1>
Do <extra_id_0> 32 dniów.	<extra_id_0> kùńca roku je <extra_id_1>
Tłuszcz ówsany <extra_id_0> nienasëconé kawasë tłuszczowe.	<extra_id_0> je bògati w <extra_id_1>
Programa na òsta pierszi rôz przedstawionô 23.zélnika 1995 rokù; <extra_id_0> òbsłëgiwô ramë (frames).	<extra_id_0> òd wersëji 3.0 <extra_id_1>
Pò przejimniãcym władzë przez Adolfa Hitlera <extra_id_0> pòstanowił wëemigrowac.	<extra_id_0> w 1933 Mann <extra_id_1>
Jakno misjónôrz béł na Pòmòrzu, a tam ksyżã Wartësłôw béł przëmùszony do przëjãcô wiéchrzëznë Pòlsczi - <extra_id_0> - na skùtk niszczotnëch wòjnowëch cygniéń.	<extra_id_0> ksyżëca Bòlesława Krzëwògãbégò <extra_id_1>
Nazwa "palisades" pochodzi od określenia specyficznych klifów, <extra_id_0> się najbliższa oceanowi część miasta.	<extra_id_0> na których znajduje <extra_id_1>
Lewino je <extra_id_0> gminie Lëniô.	<extra_id_0> nôstôrszą wsą w <extra_id_1>
W <extra_id_0> mieszkało 220 lëdzy.	<extra_id_0> 2008 rokù tu <extra_id_1>
Ma trzy otwory; jeden <extra_id_0> zachodnie.	<extra_id_0> wschodni i dwa <extra_id_1>
Pòzni òni oba <extra_id_0> wãgla i alkoholu.	<extra_id_0> zestalele tagże dwutklene <extra_id_1>
Pod jego dowództwem cztery okręty zatopiły 27 statków <extra_id_0> 48 906 BRT, uszkodziły 1 statek oraz zatopiły jeden okręt wojenny.	<extra_id_0> nieprzyjaciela o wyporności <extra_id_1>
Następnie pracowała jako <extra_id_0> ugrupowania w belgijskim parlamencie.	<extra_id_0> sekretarz frakcji swojego <extra_id_1>
Jest także mistrzem kraju w kolarstwie <extra_id_0> medalistą mistrzostw Hiszpanii w kolarstwie przełajowym.	<extra_id_0> szosowym oraz brązowym <extra_id_1>
Drobnolëstnô lëpa (Tilia <extra_id_0> to je drzéwiã z rodzëznë lëpowatëch.	<extra_id_0> cordata Mill.) – <extra_id_1>
Samolot początkowo miał być używany jako samolot myśliwski, ale testy wojskowe ujawniły jego <extra_id_0> zalety podczas lotów na małej wysokości, dlatego postanowiono wykorzystać je jako maszyny myśliwsko-bombowe do wsparcia wojsk lądowych.	<extra_id_0> dobre osiągi i <extra_id_1>
Co prawda zagrał tylko w 17 ligowych meczach, ale zdobył 5 goli, <extra_id_0> jednym z najskuteczniejszych obrońców Superligi.	<extra_id_0> co uczyniło go <extra_id_1>
XN <extra_id_0> arvensis.	<extra_id_0> Alauda <extra_id_1>
Jednakże brak w zasadzie jakichkolwiek źródeł o niej sugeruje, że jej małżeństwo z Bolesławem IV trwało bardzo <extra_id_0> się jej przedwczesną śmiercią.	<extra_id_0> krótko i zakończyło <extra_id_1>
Armeńskiej SRR, <extra_id_0> 1935 major, a od 20 grudnia 1936 starszy major bezpieczeństwa państwowego.	<extra_id_0> od 5 grudnia <extra_id_1>
Kùreszce wëkònóno dnia 25 lëstopadnika, w ji 18 rokù żëcégò, wërok karë <extra_id_0> mieczã.	<extra_id_0> smiercë przez scãcé <extra_id_1>
