Pierszé <extra_id_0> jaczi pòzwã pòdónô bëła w fòrmie "Poblocz" pòchôdô z 1401 rokù.	<extra_id_0> wiadło ò wsë, <extra_id_1>
Délëbóg je téż ùżiwóné jakò <extra_id_0> jo, jô gò tam widzył.	<extra_id_0> słowò przësãdzi: Dôlëbóg <extra_id_1>
Wëstąpił z <extra_id_0> Eùropy w 2012 i 2016.	<extra_id_0> nią na Mésterstwach <extra_id_1>
Jón Kaczkòwsczi to <extra_id_0> nôdgrodów.	<extra_id_0> béł laùreat wiele <extra_id_1>
Wëciągi z <extra_id_0> i mògą zapòbiegac ùszkòdzeniom wątroby.	<extra_id_0> ziéla ówsa łagòdzą <extra_id_1>
Trulôcz je jednym <extra_id_0> ptôchów.	<extra_id_0> z nôwiãkszich pòlsczich <extra_id_1>
W lëdowi etimòlodżi <extra_id_0> miono ze słowama słôwa ôs słowo.	<extra_id_0> parłãczë sã to <extra_id_1>
Cządnikã nym béł „Skôrb Kaszébsko-słovjnskjè mòvé”, wëdôwóny w r. 1866-68 w Swiécim, a zafùlowóny trzënôstim <extra_id_0> r., nôpewni w Pòznaniu.	<extra_id_0> numrã w 1879 <extra_id_1>
Pòlskô czãsc Pòmòrsczi bëła w midzëwòjnowich latach jedną z nôdinamiczni <extra_id_0> Drëdżi Repùbliczi.	<extra_id_0> rozwijającëch sã òbéńdów <extra_id_1>
Je aùtorã <extra_id_0> ze słowniczkiem ortograficznym” ë „Słowôrza kaszëbskò-pòlsczégò”.	<extra_id_0> „Zasad pisowni kaszubskiej <extra_id_1>
Wiãzarkòwô architektura je téż ùznôwónô przez wiele <extra_id_0> esteticzną.	<extra_id_0> lëdzy za baro <extra_id_1>
Ji <extra_id_0> razy pò 3 w lopkach.	<extra_id_0> kwiatë są wiele <extra_id_1>
Rosenberg in Westpreußen) - garc we warmińskò-mazursczim wòjewództwie wòjewództwie w <extra_id_0> Sësczim Jezorã.	<extra_id_0> jëławsczim krézu nad <extra_id_1>
Przóde lat <extra_id_0> i bicykl.	<extra_id_0> noszëł pòzwã wielocyped <extra_id_1>
Òb <extra_id_0> są dłudżi, a noce krótczé mòżne ją czasem òbaczëc jak ona niskò zemi lôtô.	<extra_id_0> wieczorë, czedë dnie <extra_id_1>
Wies i òbéńda bëłë pòd zarabczenim prësczim, <extra_id_0> szkòlë bëła prowadzonô w niemiecczim jãzëkù.	<extra_id_0> témù edukacjô w <extra_id_1>
Rëbôce, na rzékach i jezorach <extra_id_0> kutrów.	<extra_id_0> ùżiwajã niewiôldżich bôtów, <extra_id_1>
Je to 1834 rok naszi erë (pò narodzenim Christusa), <extra_id_0> tësąclecô, 34. rok XIX stolatégò, 4. rok 4-égò dzesãcolecô XIX stolatégò.	<extra_id_0> 834. rok drëdżégò <extra_id_1>
Dlôte téż Rzëm wińcowôł swojich nadzwëczajnëch obëwateli za <extra_id_0> z dãbòwëch lëstów.	<extra_id_0> zasłëdżi /zawdzãczi /wińcã <extra_id_1>
Òd 1978 rokù ta <extra_id_0> partã Mùzeùm Techniczi we Warszawie.	<extra_id_0> stôrô kòwalniô je <extra_id_1>
Sybirsczi tigris (Panthera tigris altaica) <extra_id_0> pòdôrt suska z rodzëznë kòtowatëch (Felidae).	<extra_id_0> - to je <extra_id_1>
Òbserwacëjny kòsmòlogòwie <extra_id_0> nie je mòżlëwé badérowanié całégò continuum rëmòczasu.	<extra_id_0> są dbë, że <extra_id_1>
Mionowi dzéń (téż jimieninë) to zwëk swiãtecznégò òbchôdzeniô (czasã <extra_id_0> (swiãti) abò bògòsławionégò (bògòsławioni) z katolëcczégò kalãdôrza abò jinszégò dnia, zwëkòwò przëpiãtégò do tegò miona.	<extra_id_0> grzimnégò) dnia swiãtégò <extra_id_1>
Bùlra - to bëła maszina ùżiwónô w gbùrzëznie do òbczëszczaniô zôrna (zwiksza òddzélaniô zôrnów <extra_id_0> terô to colemało robi kòmbajn.	<extra_id_0> zbòżô òd plewów), <extra_id_1>
Staszków Jan <extra_id_0> pseudonim.	<extra_id_0> to béł jegò <extra_id_1>
I <extra_id_0> Świãtégò.	<extra_id_0> pòczãła z Dëcha <extra_id_1>
Canis <extra_id_0> syn.	<extra_id_0> lupus f. familiaris <extra_id_1>
Ji òjc chutko òstawił rodzëzne i Tamara bëła chowana przez <extra_id_0> Deklerów w Warszawie i Petersbùrgù.	<extra_id_0> mëmę i starków <extra_id_1>
Je <extra_id_0> naszi erë (pò narodzenim Christusa), 416. rok drëdżégò tësąclecô, 16. rok XV stolatégò, 6. rok 2-égò dzesãcolecô XV stolatégò.	<extra_id_0> to 1416 rok <extra_id_1>
Je to 2016 rok naszi erë (pò narodzenim Christusa), 16. rok trzecégò tësąclecô, 16. rok XXI <extra_id_0> 2-égò dzesãcolecô XXI stolatégò.	<extra_id_0> stolatégò, 6. rok <extra_id_1>
Wikszi dzél <extra_id_0> wëszawno-górsczé môle Czesczégò Masywù.	<extra_id_0> Czesczi Repùbliczi zajimùją <extra_id_1>
Wãbórk do smieców – zabiérnik zrobiony wikszim dzélã <extra_id_0> plasticzëznë, chtëren je brëkòwóny do timczasowégò zbiéraniô smieców.	<extra_id_0> z metalu abò <extra_id_1>
Wiele lëdzy w <extra_id_0> „trasianczi”.	<extra_id_0> codniowim żëcym ùżiwô <extra_id_1>
Na zôpadze są <extra_id_0> Armeńskô ë Jirańskô.	<extra_id_0> to Wëszawë: Anatolijskô, <extra_id_1>
Krziżã <extra_id_0> RP.	<extra_id_0> Zasłëdżi Prezydenta <extra_id_1>
Antón òstôł ògłoszony swiãtim 30 <extra_id_0> przez papieża Grégòra IX.	<extra_id_0> maja 1232 rokù <extra_id_1>
Sankara dôł téż pòjinaczëc <extra_id_0> zdrowòtné, spoldeczné, szkólné i jinné reformë dlô pòprawë żëcô wszëtczich krajówców Bùrkinë Faso.	<extra_id_0> stolemné rolné, dëtkowé, <extra_id_1>
Przódë <extra_id_0> noszeniô jestkù w pòle.	<extra_id_0> òne bëłë do <extra_id_1>
W <extra_id_0> rangã wspóminkù òbowiązkòwégò.	<extra_id_0> pòlsczim Kòscele mô <extra_id_1>
Państwò to òsta dobétë bez <extra_id_0> a wielu zjegò mieszkańców òsta naszińcama Goryeo.	<extra_id_0> Kitanów w 926 <extra_id_1>
Je to 865 rok naszi erë <extra_id_0> 865. rok pierszégò tësąclecégò, 65. rok IX stalatégò, 5. rok 7-égò dzesãcolecô IX stalatégò.	<extra_id_0> (pò narodzenim Christusa), <extra_id_1>
Je to 1888 rok naszi erë (pò narodzenim Christusa), 888. rok <extra_id_0> rok XIX stolatégò, 8. rok 9-égò dzesãcolecô XIX stolatégò.	<extra_id_0> drëdżégò tësąclecô, 88. <extra_id_1>
Do kùńca <extra_id_0> dniów.	<extra_id_0> roku je 60 <extra_id_1>
Wieszczi <extra_id_0> pò smiercë je czerwòny (Sychta).	<extra_id_0> je ten chto <extra_id_1>
W 1856 <extra_id_0> bractwò trzézwòscë.	<extra_id_0> rokù bëło tu <extra_id_1>
Òd 1882 <extra_id_0> probòszczã.	<extra_id_0> rokù òn béł <extra_id_1>
Klatë <extra_id_0> nie bëłë ju tak farwne ë wôżné, a wiele karnów stało sã politiczno angażowónëch.	<extra_id_0> jakno ë òbleczenk <extra_id_1>
W 1979 <extra_id_0> Nuyttena, ze związkù z francësczim reżisérã i òpératórem Brunonem Nyuttenem.	<extra_id_0> ùrodzëła sëna, Barnabé'a <extra_id_1>
Jón béł téż biblofilã <extra_id_0> miôł wiôlgą biblotékã z 10.463 ksążkami, 280 rãcznopisómi i 165 kartami.	<extra_id_0> - lubòwnikã ksążek, <extra_id_1>
Pò wschodach mô <extra_id_0> lëscë i krzewięnié, chtërnemù dobrô je temperatura 6-12 stopniów cepła.	<extra_id_0> zaczątk wëtwarzanie pòstãpnëch <extra_id_1>
W czasu akcje <extra_id_0> a drëdżé atakùje wszëtczé 4 brómczi.	<extra_id_0> jedno karno broni, <extra_id_1>
Niechtërné <extra_id_0> katolëcë.	<extra_id_0> cerkwie mają òbjãté <extra_id_1>
Pierszim wòjewòdą <extra_id_0> Łaszewsczi.	<extra_id_0> béł tu Sztefón <extra_id_1>
Tajna Organizacja Wojskowa Gryf Pomorski) - to <extra_id_0> òb czas II Swiatowi Wòjnë.	<extra_id_0> bëła wòjskòwô òrganizacëjô <extra_id_1>
W <extra_id_0> ôrt eùropejskô sardinka.	<extra_id_0> nim je jeden <extra_id_1>
Zlokalizowóné są nad rzéką Wdą i <extra_id_0> rezerwace archeologòwo-przёrodnym „Krãdżi kamiané”.	<extra_id_0> òbjãté òchróną w <extra_id_1>
Antologia <extra_id_0> (1981).	<extra_id_0> kaszubskiej poezji religijnej <extra_id_1>
Midzësłowiańsczi jãzëk (medžuslovjansky, меджусловјанскы) je sztëcznym jãzëkã nôtërnegò zortu, ùsadzonym w 2006 rokù òb karno interlingwistów (Jan van Steenbergen, <extra_id_0> Recznik, Igor Poliakow) pòd nazwą Slovianski.	<extra_id_0> Gabriel Svoboda, Ondrej <extra_id_1>
Mùzeùm <extra_id_0> ksążczi.	<extra_id_0> wëdôwô téż <extra_id_1>
Tej òstawilё smãtôrzёska z kamòwima krãgama i rёszёlё pòd prowôdzёzną jednégo z panôrzów Filimera, <extra_id_0> legendowi krôjnё Oium (wg Jordanesa,gòcczégòdzejopisôrza z VI w.).	<extra_id_0> sёna Gadariga do <extra_id_1>
Jakò jãzëkòwô zrzesznica wëapartnilë sã kòl pòłòwy I tësąclata <extra_id_0> jãzëkòwëgò karna.	<extra_id_0> n.e. z bôłto-słowiańsczégò <extra_id_1>
Wëstãpiają <extra_id_0> do lata.	<extra_id_0> blós òd zymkù <extra_id_1>
Zwëczajny <extra_id_0> – to je wiôldżi ptôch z rodzëznë kùrowatëch (Phasianidae).	<extra_id_0> gùlôk (Meleagris gallopavo) <extra_id_1>
Je to 916 rok naszi erë (pò narodzenim Christusa), 916. <extra_id_0> 16. rok X stolatégò, 6. rok 2-égò dzesãcolecô X stolatégò.	<extra_id_0> rok pierszégò tësąclecégò, <extra_id_1>
Òna <extra_id_0> trëjącô.	<extra_id_0> je <extra_id_1>
Piôsznica - to <extra_id_0> 28,6 km.	<extra_id_0> je rzéka dłużawë <extra_id_1>
W Zôpadny Eùropie, m.jin. Gerd Hentschel <extra_id_0> prôcach szląsczi jãzëk westrzódka zôpadnosłowiańsczéch jãzków, a napisôł téż ùczałi artikel zatitlowóny "Śląski - nowy (albo i nie nowy) język słowiański?"	<extra_id_0> wëmieniwô w swòjich <extra_id_1>
Wisława Szymborska (fùl <extra_id_0> Anna Szymborska, ùr.	<extra_id_0> miono Maria Wisława <extra_id_1>
W zależnotë òd przejątich kriteriów <extra_id_0> na wiele spòsobów, np.	<extra_id_0> lasë mòżna dzelëc <extra_id_1>
Czôrné durë mają taczé samé masë jak wiôldżé gwiôzdë, a różnią sã <extra_id_0> nie swiecą.	<extra_id_0> blós tim, że <extra_id_1>
Jegò zbérk <extra_id_0> pòdwiniãty.	<extra_id_0> je wëdãti ë <extra_id_1>
Zajimné <extra_id_0> felietónë (pòd ps.	<extra_id_0> są téż jegò <extra_id_1>
Schnitzelbank dôł téż zôczątk <extra_id_0> jinszich jãzëkach, np.	<extra_id_0> szlachòwnym spiéwónkòm w <extra_id_1>
Na <extra_id_0> brzëchù biôłô.	<extra_id_0> pùkle czôrnô, na <extra_id_1>
Òkùnk (Perca fluviatilis) – to je <extra_id_0> òkùnkòwatëch.	<extra_id_0> rëba z rodzëznë <extra_id_1>
Niechtërny dzejôrze bëlë przesladowóny, razã z aresztowanim <extra_id_0> zbiérków.	<extra_id_0> i zajimniãcym rãkòpisnëch <extra_id_1>
Do dzysô z nëch XIX-wiekòwëch <extra_id_0> òstało.	<extra_id_0> òbsadzeniów wiele nie <extra_id_1>
Kóra zbiérónô je 2-3 razë w <extra_id_0> deszczowégò cządu.	<extra_id_0> rokù òb czas <extra_id_1>
Wierzono, że chto na <extra_id_0> mieć szczescy w żëcém.	<extra_id_0> taczi trafi, bãdze <extra_id_1>
Pòbłocczi napisôł: Słownik kaszubski z dodatkiem <extra_id_0> kociewskich, Chełmno 1887.	<extra_id_0> idyotyzmów chełmińskich i <extra_id_1>
Môrcën ùcął sztëk <extra_id_0> i dôł gò biédôkòwi.	<extra_id_0> swòjégò cepłégò płôszcza <extra_id_1>
W <extra_id_0> i zemiã dobrzińską w ji stórich grańcach.	<extra_id_0> zamian zyskôł Kujawë <extra_id_1>
Pȏra abò wicy słowów je bùten <extra_id_0> rozmiejemë dosłowno.	<extra_id_0> szëkù, żlë je <extra_id_1>
Téż przemësłowé przerôbianié <extra_id_0> wôżnoce.	<extra_id_0> charnë zwëskiwô na <extra_id_1>
Gra <extra_id_0> kaszëbach.	<extra_id_0> popularnô na <extra_id_1>
Béł również mëslicelém <extra_id_0> wielu dziedzin wiedzë oraz sztuczé.	<extra_id_0> i ùczonym, znawcą <extra_id_1>
Jakùb Falkòwsczi (775 <extra_id_0> twórca pierszi w Pòlsce specjalny szkòłë dlô głëchòniemëch.	<extra_id_0> – 1948) – <extra_id_1>
Pò 1307 rokù <extra_id_0> dominium we Westrzédny Pòmòrsce.	<extra_id_0> òni ùtwòrzelë spôdkòwiznowi <extra_id_1>
Biegôcze <extra_id_0> òchrónią.	<extra_id_0> są òbjimniãti ùrzãdową <extra_id_1>
To zort roscënë <extra_id_0> (Solanaceae).	<extra_id_0> z rodzëznë psiankòwatëch <extra_id_1>
Wenus (Venus) – wedle <extra_id_0> bòżëną miłotë.	<extra_id_0> mitologie bëła rzimską <extra_id_1>
Mniészô czãsc <extra_id_0> lewim brzegù.	<extra_id_0> leżi na niżawnym <extra_id_1>
Płota <extra_id_0> Plote 1277, Plate, Plathe, Platow 1632; pòl.	<extra_id_0> (we zdrojach: *Płota, <extra_id_1>
W latach 1637 - <extra_id_0> pòlsczé przédnictwò.	<extra_id_0> 1657 tu bëło <extra_id_1>
Pò sztridach z Jayã Bentleyã ë swòjich jiwrach z narkòtikama òdchôdô z karna, pò wëdaniém Stranger <extra_id_0> Gurewitz - nôwôżniszi aùtora tekstów.	<extra_id_0> Than Fiction, Brett <extra_id_1>
Ne bôtë letkò mógł wëcygnąc na sztrąd <extra_id_0> miałë plaskati dno (bëłë to nôwikszé rëbacczé bôtë na Pòmòrzim, jaczé móglë wcëgnąc na sztrąd lëdze swòjima mùsklama).	<extra_id_0> przez to, że <extra_id_1>
Lëdowô <extra_id_0> dolmaczi trzôskã, jaczi robią kamienie pòrëszoné bez Łebã w wąsczim tu kòrëce.	<extra_id_0> etimòlogiô dzysészą pòzwã <extra_id_1>
W Brusach mô swòji môl jedurné Kaszëbsczé Òglowôsztôłcącé Liceùm, w chtërnym młodzéżô mòże chòdzëc na ùczbë kaszëbsczégò jãzëka <extra_id_0> z kaszëbsczégò maturã.	<extra_id_0> i pózni zdôwac <extra_id_1>
Òglowô ùbezpieka – to są ùbezpieczi, <extra_id_0> je zagwësnienié socjalnégò bezpiekù, w tim ledzóm w latach (emeritura), niezdatnym do robòtë (rińta), òfiaróm nieszczeslëwich wëpôdków i chòrobów.	<extra_id_0> chtërnëch pierszim célem <extra_id_1>
Wënikù to z tegò, że wiôldżi krukòwati przënoszą swym dzôtkòm na teli wiele jestkù, że <extra_id_0> swòjich i adoptowónëch młodëch.	<extra_id_0> starcza gò dlô <extra_id_1>
York University (Ùniwersytet York) je wôżnym môlã dlô <extra_id_0> 1959 rokù.	<extra_id_0> rozwiju nôùczi òd <extra_id_1>
Na jiwer z pamiãcą jiscą <extra_id_0> starszi lëdze.	<extra_id_0> są tej sej <extra_id_1>
Wies <extra_id_0> wòjewódzczi dardżi 25px.	<extra_id_0> je na szlachù <extra_id_1>
Od tego sztërku aposztół wëstępuje w Dzejach <extra_id_0> jako Szaweł, le Paweł.	<extra_id_0> Aposztołów ju nié <extra_id_1>
W 1701 <extra_id_0> mieszkało 48 sztëk lëdzy, a òkróm młina i piłë fùnksnérowa tu téż karczma.	<extra_id_0> rokù w Tłuczewie <extra_id_1>
W <extra_id_0> kasa mô wiôldżé znaczenié.	<extra_id_0> tim bankù rządowô <extra_id_1>
Scyrz – <extra_id_0> zwiérz.	<extra_id_0> to je zdechłi <extra_id_1>
Jistniejącô òd <extra_id_0> Darga sw.	<extra_id_0> pònad tësąc lat <extra_id_1>
Je to 889 rok naszi erë (pò narodzenim Christusa), 889. rok pierszégò tësąclecégò, 89. rok IX stalatégò, 9. rok <extra_id_0> stalatégò.	<extra_id_0> 9-égò dzesãcolecô IX <extra_id_1>
Przë szkòle w Miszewie <extra_id_0> karno „Mùlczi”	<extra_id_0> dzejô dzecné fòlkloristiczné <extra_id_1>
Równak w tëch warunkach proces ten <extra_id_0> i pòstãpùje chùtkò dopiérze przë 5-7 stopniach cepła.	<extra_id_0> jidze dosc wòlno <extra_id_1>
Bëła nôleżnikã gduńsczégò Karna Sztudérów <extra_id_0> Zrzeszeniô.	<extra_id_0> „Pomorania” ë Kaszëbskò-Pòmòrsczégò <extra_id_1>
Òn <extra_id_0> rokù.	<extra_id_0> ùmarł w 1882 <extra_id_1>
Za <extra_id_0> abò kùcha.	<extra_id_0> dëgòwanié dostôwajã jaja <extra_id_1>
Òne są colemało szarozeloné, mają kòl 15 mm długòscë i 1-2mm szerokòscë, na jich wiérzchù <extra_id_0> pòd spòdem są wësadzony ë swiécący.	<extra_id_0> je biôłi pôsk, <extra_id_1>
Tedë na gromada <extra_id_0> w atakù.	<extra_id_0> zapòczinô swòjã akcjã <extra_id_1>
Pólny głowôcz (Knautia arvensis (L.) <extra_id_0> je ôrt roscënë z rodzëznë szczecowatëch (Caprifoliaceae).	<extra_id_0> Coult.) - to <extra_id_1>
Latem nôbarżi smakają jima jéże, zajce, <extra_id_0> rëbë.	<extra_id_0> kaczci, gołąbczi i <extra_id_1>
Zldzënie bëło <extra_id_0> permie.	<extra_id_0> w karbònie ë <extra_id_1>
Pòdobni psë <extra_id_0> tëż w Kartadżinie.	<extra_id_0> miałë bëc znôny <extra_id_1>
Je <extra_id_0> semitizmów, bez co niejedny sę nawetk docygelë, że czwiôrtô Ewanielëjô bëła piérwi w dzélu abo całô napisónô po aramejsku.	<extra_id_0> tu téż bokadosc <extra_id_1>
Dokumeńtã Dagome iudex z <extra_id_0> państwò pòd òpiekã papieża.	<extra_id_0> 991 òddôł pòlsczé <extra_id_1>
Òna mògła <extra_id_0> jadrownicach.	<extra_id_0> sã sëszëc na <extra_id_1>
Olkusz <extra_id_0> krézu.	<extra_id_0> je stolëcą olkuscziégò <extra_id_1>
Lëdze antikòwi ùznôwelë, że grifë pilëją <extra_id_0> dzérzników, chtërny próbùją tam pòdéńc, pòriwają razã z kòniama.	<extra_id_0> górów złota, a <extra_id_1>
Kanón swiãtëch ksąg w żëdzëznie òpisano kòl <extra_id_0> w Jamni (Jawne).	<extra_id_0> kùńca I s.n.e. <extra_id_1>
Czasã je mòżlëwòsc <extra_id_0> głosów.	<extra_id_0> nadrzãdnégò wëłączaniégò jazëkòwëch <extra_id_1>
To <extra_id_0> do 2017 rokù premiéra Saksów.	<extra_id_0> béł òd 2008 <extra_id_1>
Pòjôwiają sã nowé chòroscë, co są skùtkã dinamicznëch i złożonëch przirodniczich procesów, <extra_id_0> mô lëdzczé dzejanié np.	<extra_id_0> na jaczi cësk <extra_id_1>
Kôłk - je ùpiekłi z mączi, jaja <extra_id_0> wòdë.	<extra_id_0> ë mléka abò <extra_id_1>
Z dorobkiem <extra_id_0> òn nôskùteczniejszim zagrańcznym piłkarzã w historii Bayernu Mònachium.	<extra_id_0> 151 gòli jest <extra_id_1>
Nôczãscy rodzë sã <extra_id_0> òsmë sztëk môłëch.	<extra_id_0> òd szterech do <extra_id_1>
Kòt domôcy mô baro dobri wãch, słëch i wid <extra_id_0> dnia.	<extra_id_0> przë nisczim widze <extra_id_1>
Je to 1717 rok naszi erë <extra_id_0> 717. rok drëdżégò tësąclecô, 17. rok XVIII stolatégò, 7. rok 2-égò dzesãcolecô XVIII stolatégò.	<extra_id_0> (pò narodzenim Christusa), <extra_id_1>
Letni sezon turystyczny trwa przez <extra_id_0> trudno precyzować dokładny òkres, gdyż je to zależne od danegò roku.	<extra_id_0> kilka miesãcy - <extra_id_1>
Strzédnô wiżô nad równią mòrza to 750 <extra_id_0> terenu w wikszim parce prowincëji to 15-40 gradusów.	<extra_id_0> métrów a nadżib <extra_id_1>
Je òna <extra_id_0> kùlturë.	<extra_id_0> wôżnym môlã kaszëbsczi <extra_id_1>
Òn béł <extra_id_0> szkólnym.	<extra_id_0> fòlkloristą, runitą i <extra_id_1>
W <extra_id_0> titel doktora za dokôz Literatura kaszubska w latach 1920-1939 wëdóny w 1973 r. pòd titlã: Piętno Smętka.	<extra_id_0> 1970 r. dostôł <extra_id_1>
Tu <extra_id_0> kąpanié.	<extra_id_0> je mòżlëwé słonowòdowé <extra_id_1>
Nôwicy lëdzy <extra_id_0> ùsłëgów.	<extra_id_0> robi w sferze <extra_id_1>
Blónë mògą bëc: biôłé, <extra_id_0> grzmòtowé, wiatrowé, wełniané.	<extra_id_0> czôrné, sniegòwé, drobné, <extra_id_1>
Lëchim gòspòdënióm òne <extra_id_0> np.	<extra_id_0> robiłë na psotã <extra_id_1>
W ògardze ùnoszô sã <extra_id_0> kwiatów.	<extra_id_0> miłô wòniô besowëch <extra_id_1>
Stronama biwało tak, że kòżdô gòspòdëni chca, żebë ji chëcze kòminôrz òdwiedzôł nôprzód, bò jegò <extra_id_0> jesz czesté - niéòsmòloné sôdzą.	<extra_id_0> ruchna bëłë tedë <extra_id_1>
Białczi ë dzéwczãta mògłë kabôtë <extra_id_0> ale ni òb lato.	<extra_id_0> nosëc na liwkach, <extra_id_1>
Chódzëłë <extra_id_0> biédné i te z bogatych rodzënów.	<extra_id_0> do ni dzecë <extra_id_1>
Do òbéńdë wsë rëchòwóné są téż: <extra_id_0> przez to òna mô charakter môłégò gardu.	<extra_id_0> Minkòwice i Gòszczëno, <extra_id_1>
Do <extra_id_0> bëc sadzony Juniperus sabina.	<extra_id_0> òzdobë mòże tu <extra_id_1>
Chrzept òd bronza przez cemnoszari <extra_id_0> strzebni.	<extra_id_0> do modrawi, bòczi <extra_id_1>
Ùcził sã w Tonbridge, zaczã téż <extra_id_0> Granadë (Szpańskô), le chùtkò je przerwôł, bë pòswiãcëc sã swòjémù nôwikszémù hobbi – lecbie.	<extra_id_0> sztudia na Ùniwersytece <extra_id_1>
Wedle zwëkù <extra_id_0> òstawiô sã talérzëk dlô przëbëcznika.	<extra_id_0> na biôłim tôflôkù <extra_id_1>
Dwiérze - to je rëszny element òbsadzony w bezrëszny ramie bënë dwiérzowy òdemkłosce bùdinkù, <extra_id_0> bënë i przez nie wëlezc.	<extra_id_0> nima mòże wlezc <extra_id_1>
Czôrnogłowòwi <extra_id_0> melanocephalus) - to je bączk z rodzëznë szczipówkòwatëch.	<extra_id_0> piechtôrz (Calathus melanocephalus <extra_id_1>
